Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,375
'0:0:0.02,395
'0:0:0.04,400
'0:0:0.06,398
'0:0:0.08,395
'0:0:0.1,393
'0:0:0.12,386
'0:0:0.14,374
'0:0:0.16,354
'0:0:0.18,336
'0:0:0.2,334
'0:0:0.22,335
'0:0:0.24,333
'0:0:0.26,318
'0:0:0.28,307
'0:0:0.3,310
'0:0:0.32,316
'0:0:0.34,320
'0:0:0.36,317
'0:0:0.38,318
'0:0:0.4,326
'0:0:0.42,338
'0:0:0.44,373
'0:0:0.46,425
'0:0:0.48,481
'0:0:0.5,528
'0:0:0.52,547
'0:0:0.54,539
'0:0:0.56,501
'0:0:0.58,453
'0:0:0.6,412
'0:0:0.62,376
'0:0:0.64,348
'0:0:0.66,322
'0:0:0.68,312
'0:0:0.7,317
'0:0:0.72,330
'0:0:0.74,346
'0:0:0.76,360
'0:0:0.78,381
'0:0:0.8,405
'0:0:0.82,418
'0:0:0.84,418
'0:0:0.86,403
'0:0:0.88,388
'0:0:0.9,379
'0:0:0.92,369
'0:0:0.94,355
'0:0:0.96,337
'0:0:0.98,326
'0:0:1.0,323
'0:0:1.02,320
'0:0:1.04,314
'0:0:1.06,303
'0:0:1.08,302
'0:0:1.1,306
'0:0:1.12,311
'0:0:1.14,313
'0:0:1.16,305
'0:0:1.18,301
'0:0:1.2,310
'0:0:1.22,312
'0:0:1.24,326
'0:0:1.26,367
'0:0:1.28,424
'0:0:1.3,472
'0:0:1.32,495
'0:0:1.34,488
'0:0:1.36,456
'0:0:1.38,428
'0:0:1.4,399
'0:0:1.42,362
'0:0:1.44,315
'0:0:1.46,265
'0:0:1.48,238
'0:0:1.5,233
'0:0:1.52,239
'0:0:1.54,251
'0:0:1.56,270
'0:0:1.58,302
'0:0:1.6,338
'0:0:1.62,364
'0:0:1.64,372
'0:0:1.66,366
'0:0:1.68,360
'0:0:1.7,358
'0:0:1.72,356
'0:0:1.74,348
'0:0:1.76,337
'0:0:1.78,338
'0:0:1.8,347
'0:0:1.82,354
'0:0:1.84,356
'0:0:1.86,350
'0:0:1.88,350
'0:0:1.9,359
'0:0:1.92,370
'0:0:1.94,373
'0:0:1.96,371
'0:0:1.98,375
'0:0:2.0,384
'0:0:2.02,391
'0:0:2.04,393
'0:0:2.06,402
'0:0:2.08,435
'0:0:2.1,483
'0:0:2.12,521
'0:0:2.14,534
'0:0:2.16,520
'0:0:2.18,494
'0:0:2.2,461
'0:0:2.22,417
'0:0:2.24,374
'0:0:2.26,337
'0:0:2.28,321
'0:0:2.3,317
'0:0:2.32,318
'0:0:2.34,318
'0:0:2.36,329
'0:0:2.38,358
'0:0:2.4,396
'0:0:2.42,427
