Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,345
'0:0:0.02,340
'0:0:0.04,332
'0:0:0.06,333
'0:0:0.08,341
'0:0:0.1,352
'0:0:0.12,359
'0:0:0.14,357
'0:0:0.16,349
'0:0:0.18,346
'0:0:0.2,348
'0:0:0.22,351
'0:0:0.24,359
'0:0:0.26,374
'0:0:0.28,396
'0:0:0.3,417
'0:0:0.32,427
'0:0:0.34,423
'0:0:0.36,408
'0:0:0.38,393
'0:0:0.4,385
'0:0:0.42,377
'0:0:0.44,363
'0:0:0.46,346
'0:0:0.48,335
'0:0:0.5,333
'0:0:0.52,335
'0:0:0.54,337
'0:0:0.56,338
'0:0:0.58,341
'0:0:0.6,348
'0:0:0.62,353
'0:0:0.64,351
'0:0:0.66,344
'0:0:0.68,341
'0:0:0.7,343
'0:0:0.72,343
'0:0:0.74,338
'0:0:0.76,332
'0:0:0.78,329
'0:0:0.8,334
'0:0:0.82,338
'0:0:0.84,335
'0:0:0.86,330
'0:0:0.88,329
'0:0:0.9,334
'0:0:0.92,336
'0:0:0.94,331
'0:0:0.96,335
'0:0:0.98,353
'0:0:1.0,379
'0:0:1.02,400
'0:0:1.04,408
'0:0:1.06,402
'0:0:1.08,393
'0:0:1.1,386
'0:0:1.12,376
'0:0:1.14,362
'0:0:1.16,346
'0:0:1.18,337
'0:0:1.2,338
'0:0:1.22,343
'0:0:1.24,346
'0:0:1.26,345
'0:0:1.28,347
'0:0:1.3,355
'0:0:1.32,365
'0:0:1.34,368
'0:0:1.36,365
'0:0:1.38,363
'0:0:1.4,364
'0:0:1.42,363
'0:0:1.44,355
'0:0:1.46,343
'0:0:1.48,333
'0:0:1.5,330
'0:0:1.52,328
'0:0:1.54,325
'0:0:1.56,318
'0:0:1.58,317
'0:0:1.6,321
'0:0:1.62,327
'0:0:1.64,329
'0:0:1.66,330
'0:0:1.68,333
'0:0:1.7,341
'0:0:1.72,349
'0:0:1.74,363
'0:0:1.76,382
'0:0:1.78,402
'0:0:1.8,416
'0:0:1.82,414
'0:0:1.84,405
'0:0:1.86,386
'0:0:1.88,369
'0:0:1.9,359
'0:0:1.92,349
'0:0:1.94,332
'0:0:1.96,322
'0:0:1.98,319
'0:0:2.0,324
'0:0:2.02,330
'0:0:2.04,331
'0:0:2.06,330
'0:0:2.08,335
'0:0:2.1,343
'0:0:2.12,347
'0:0:2.14,343
'0:0:2.16,333
'0:0:2.18,327
'0:0:2.2,328
'0:0:2.22,329
'0:0:2.24,325
'0:0:2.26,318
'0:0:2.28,318
'0:0:2.3,324
'0:0:2.32,328
'0:0:2.34,326
'0:0:2.36,321
'0:0:2.38,321
'0:0:2.4,326
'0:0:2.42,329
