Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,443
'0:0:0.02,394
'0:0:0.04,354
'0:0:0.06,334
'0:0:0.08,313
'0:0:0.1,292
'0:0:0.12,279
'0:0:0.14,274
'0:0:0.16,273
'0:0:0.18,270
'0:0:0.2,274
'0:0:0.22,283
'0:0:0.24,292
'0:0:0.26,296
'0:0:0.28,292
'0:0:0.3,288
'0:0:0.32,290
'0:0:0.34,295
'0:0:0.36,298
'0:0:0.38,292
'0:0:0.4,287
'0:0:0.42,294
'0:0:0.44,306
'0:0:0.46,313
'0:0:0.48,307
'0:0:0.5,296
'0:0:0.52,297
'0:0:0.54,327
'0:0:0.56,394
'0:0:0.58,463
'0:0:0.6,509
'0:0:0.62,529
'0:0:0.64,522
'0:0:0.66,493
'0:0:0.68,448
'0:0:0.7,400
'0:0:0.72,367
'0:0:0.74,350
'0:0:0.76,337
'0:0:0.78,317
'0:0:0.8,295
'0:0:0.82,283
'0:0:0.84,287
'0:0:0.86,298
'0:0:0.88,301
'0:0:0.9,297
'0:0:0.92,299
'0:0:0.94,303
'0:0:0.96,302
'0:0:0.98,295
'0:0:1.0,285
'0:0:1.02,280
'0:0:1.04,283
'0:0:1.06,284
'0:0:1.08,275
'0:0:1.1,268
'0:0:1.12,272
'0:0:1.14,285
'0:0:1.16,294
'0:0:1.18,291
'0:0:1.2,285
'0:0:1.22,293
'0:0:1.24,328
'0:0:1.26,393
'0:0:1.28,458
'0:0:1.3,499
'0:0:1.32,514
'0:0:1.34,505
'0:0:1.36,473
'0:0:1.38,423
'0:0:1.4,373
'0:0:1.42,342
'0:0:1.44,326
'0:0:1.46,313
'0:0:1.48,292
'0:0:1.5,273
'0:0:1.52,267
'0:0:1.54,274
'0:0:1.56,285
'0:0:1.58,286
'0:0:1.6,285
'0:0:1.62,295
'0:0:1.64,309
'0:0:1.66,319
'0:0:1.68,315
'0:0:1.7,305
'0:0:1.72,302
'0:0:1.74,303
'0:0:1.76,302
'0:0:1.78,295
'0:0:1.8,286
'0:0:1.82,283
'0:0:1.84,284
'0:0:1.86,285
'0:0:1.88,281
'0:0:1.9,274
'0:0:1.92,270
'0:0:1.94,279
'0:0:1.96,317
'0:0:1.98,385
'0:0:2.0,452
'0:0:2.02,503
'0:0:2.04,525
'0:0:2.06,514
'0:0:2.08,474
'0:0:2.1,425
'0:0:2.12,388
'0:0:2.14,361
'0:0:2.16,340
'0:0:2.18,319
'0:0:2.2,299
'0:0:2.22,288
'0:0:2.24,288
'0:0:2.26,292
'0:0:2.28,293
'0:0:2.3,293
'0:0:2.32,295
'0:0:2.34,299
'0:0:2.36,299
'0:0:2.38,290
'0:0:2.4,283
'0:0:2.42,282
