Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,334
'0:0:0.02,321
'0:0:0.04,299
'0:0:0.06,296
'0:0:0.08,310
'0:0:0.1,323
'0:0:0.12,327
'0:0:0.14,328
'0:0:0.16,339
'0:0:0.18,373
'0:0:0.2,428
'0:0:0.22,481
'0:0:0.24,514
'0:0:0.26,522
'0:0:0.28,515
'0:0:0.3,490
'0:0:0.32,457
'0:0:0.34,425
'0:0:0.36,406
'0:0:0.38,394
'0:0:0.4,381
'0:0:0.42,361
'0:0:0.44,339
'0:0:0.46,333
'0:0:0.48,333
'0:0:0.5,331
'0:0:0.52,322
'0:0:0.54,312
'0:0:0.56,317
'0:0:0.58,332
'0:0:0.6,338
'0:0:0.62,334
'0:0:0.64,324
'0:0:0.66,318
'0:0:0.68,317
'0:0:0.7,317
'0:0:0.72,313
'0:0:0.74,314
'0:0:0.76,324
'0:0:0.78,339
'0:0:0.8,348
'0:0:0.82,348
'0:0:0.84,338
'0:0:0.86,332
'0:0:0.88,331
'0:0:0.9,326
'0:0:0.92,319
'0:0:0.94,314
'0:0:0.96,316
'0:0:0.98,323
'0:0:1.0,328
'0:0:1.02,322
'0:0:1.04,315
'0:0:1.06,318
'0:0:1.08,329
'0:0:1.1,337
'0:0:1.12,336
'0:0:1.14,330
'0:0:1.16,342
'0:0:1.18,382
'0:0:1.2,438
'0:0:1.22,484
'0:0:1.24,506
'0:0:1.26,509
'0:0:1.28,496
'0:0:1.3,471
'0:0:1.32,438
'0:0:1.34,402
'0:0:1.36,374
'0:0:1.38,358
'0:0:1.4,348
'0:0:1.42,335
'0:0:1.44,315
'0:0:1.46,303
'0:0:1.48,301
'0:0:1.5,306
'0:0:1.52,307
'0:0:1.54,304
'0:0:1.56,308
'0:0:1.58,311
'0:0:1.6,308
'0:0:1.62,301
'0:0:1.64,293
'0:0:1.66,295
'0:0:1.68,305
'0:0:1.7,307
'0:0:1.72,306
'0:0:1.74,311
'0:0:1.76,322
'0:0:1.78,335
'0:0:1.8,338
'0:0:1.82,329
'0:0:1.84,322
'0:0:1.86,332
'0:0:1.88,343
'0:0:1.9,346
'0:0:1.92,341
'0:0:1.94,332
'0:0:1.96,336
'0:0:1.98,361
'0:0:2.0,384
'0:0:2.02,392
'0:0:2.04,392
'0:0:2.06,395
'0:0:2.08,397
'0:0:2.1,397
'0:0:2.12,387
'0:0:2.14,364
'0:0:2.16,342
'0:0:2.18,334
'0:0:2.2,339
'0:0:2.22,364
'0:0:2.24,396
'0:0:2.26,422
'0:0:2.28,433
'0:0:2.3,422
'0:0:2.32,392
'0:0:2.34,361
'0:0:2.36,348
'0:0:2.38,351
'0:0:2.4,354
'0:0:2.42,347
