Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,442
'0:0:0.02,455
'0:0:0.04,445
'0:0:0.06,427
'0:0:0.08,408
'0:0:0.1,396
'0:0:0.12,388
'0:0:0.14,382
'0:0:0.16,371
'0:0:0.18,368
'0:0:0.2,371
'0:0:0.22,369
'0:0:0.24,365
'0:0:0.26,357
'0:0:0.28,353
'0:0:0.3,354
'0:0:0.32,356
'0:0:0.34,355
'0:0:0.36,347
'0:0:0.38,338
'0:0:0.4,336
'0:0:0.42,333
'0:0:0.44,330
'0:0:0.46,320
'0:0:0.48,313
'0:0:0.5,314
'0:0:0.52,315
'0:0:0.54,313
'0:0:0.56,307
'0:0:0.58,302
'0:0:0.6,305
'0:0:0.62,308
'0:0:0.64,310
'0:0:0.66,306
'0:0:0.68,303
'0:0:0.7,306
'0:0:0.72,309
'0:0:0.74,310
'0:0:0.76,305
'0:0:0.78,303
'0:0:0.8,307
'0:0:0.82,311
'0:0:0.84,314
'0:0:0.86,310
'0:0:0.88,307
'0:0:0.9,309
'0:0:0.92,312
'0:0:0.94,314
'0:0:0.96,312
'0:0:0.98,311
'0:0:1.0,314
'0:0:1.02,318
'0:0:1.04,327
'0:0:1.06,353
'0:0:1.08,394
'0:0:1.1,432
'0:0:1.12,453
'0:0:1.14,453
'0:0:1.16,433
'0:0:1.18,411
'0:0:1.2,398
'0:0:1.22,389
'0:0:1.24,381
'0:0:1.26,370
'0:0:1.28,358
'0:0:1.3,357
'0:0:1.32,359
'0:0:1.34,361
'0:0:1.36,356
'0:0:1.38,355
'0:0:1.4,358
'0:0:1.42,362
'0:0:1.44,365
'0:0:1.46,358
'0:0:1.48,349
'0:0:1.5,345
'0:0:1.52,342
'0:0:1.54,339
'0:0:1.56,328
'0:0:1.58,320
'0:0:1.6,317
'0:0:1.62,319
'0:0:1.64,319
'0:0:1.66,317
'0:0:1.68,319
'0:0:1.7,324
'0:0:1.72,329
'0:0:1.74,331
'0:0:1.76,327
'0:0:1.78,324
'0:0:1.8,328
'0:0:1.82,332
'0:0:1.84,330
'0:0:1.86,319
'0:0:1.88,308
'0:0:1.9,305
'0:0:1.92,304
'0:0:1.94,305
'0:0:1.96,303
'0:0:1.98,302
'0:0:2.0,306
'0:0:2.02,310
'0:0:2.04,311
'0:0:2.06,306
'0:0:2.08,302
'0:0:2.1,305
'0:0:2.12,310
'0:0:2.14,315
'0:0:2.16,315
'0:0:2.18,335
'0:0:2.2,384
'0:0:2.22,432
'0:0:2.24,462
'0:0:2.26,465
'0:0:2.28,454
'0:0:2.3,439
'0:0:2.32,423
'0:0:2.34,409
'0:0:2.36,395
'0:0:2.38,392
'0:0:2.4,394
'0:0:2.42,391
