Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,542
'0:0:0.02,522
'0:0:0.04,468
'0:0:0.06,406
'0:0:0.08,344
'0:0:0.1,295
'0:0:0.12,269
'0:0:0.14,254
'0:0:0.16,241
'0:0:0.18,229
'0:0:0.2,227
'0:0:0.22,244
'0:0:0.24,271
'0:0:0.26,301
'0:0:0.28,321
'0:0:0.3,334
'0:0:0.32,344
'0:0:0.34,340
'0:0:0.36,327
'0:0:0.38,309
'0:0:0.4,296
'0:0:0.42,296
'0:0:0.44,296
'0:0:0.46,290
'0:0:0.48,279
'0:0:0.5,274
'0:0:0.52,295
'0:0:0.54,365
'0:0:0.56,456
'0:0:0.58,517
'0:0:0.6,535
'0:0:0.62,518
'0:0:0.64,466
'0:0:0.66,397
'0:0:0.68,328
'0:0:0.7,282
'0:0:0.72,263
'0:0:0.74,257
'0:0:0.76,250
'0:0:0.78,237
'0:0:0.8,235
'0:0:0.82,256
'0:0:0.84,286
'0:0:0.86,317
'0:0:0.88,335
'0:0:0.9,348
'0:0:0.92,353
'0:0:0.94,347
'0:0:0.96,332
'0:0:0.98,311
'0:0:1.0,299
'0:0:1.02,296
'0:0:1.04,286
'0:0:1.06,265
'0:0:1.08,253
'0:0:1.1,304
'0:0:1.12,407
'0:0:1.14,496
'0:0:1.16,533
'0:0:1.18,512
'0:0:1.2,460
'0:0:1.22,405
'0:0:1.24,356
'0:0:1.26,318
'0:0:1.28,287
'0:0:1.3,270
'0:0:1.32,269
'0:0:1.34,264
'0:0:1.36,261
'0:0:1.38,260
'0:0:1.4,274
'0:0:1.42,300
'0:0:1.44,319
'0:0:1.46,323
'0:0:1.48,312
'0:0:1.5,306
'0:0:1.52,310
'0:0:1.54,314
'0:0:1.56,310
'0:0:1.58,297
'0:0:1.6,286
'0:0:1.62,287
'0:0:1.64,290
'0:0:1.66,304
'0:0:1.68,362
'0:0:1.7,459
'0:0:1.72,541
'0:0:1.74,569
'0:0:1.76,541
'0:0:1.78,474
'0:0:1.8,398
'0:0:1.82,336
'0:0:1.84,290
'0:0:1.86,259
'0:0:1.88,235
'0:0:1.9,229
'0:0:1.92,239
'0:0:1.94,256
'0:0:1.96,274
'0:0:1.98,292
'0:0:2.0,317
'0:0:2.02,342
'0:0:2.04,354
'0:0:2.06,350
'0:0:2.08,333
'0:0:2.1,318
'0:0:2.12,309
'0:0:2.14,298
'0:0:2.16,285
'0:0:2.18,270
'0:0:2.2,263
'0:0:2.22,265
'0:0:2.24,268
'0:0:2.26,271
'0:0:2.28,271
'0:0:2.3,282
'0:0:2.32,300
'0:0:2.34,310
'0:0:2.36,317
'0:0:2.38,364
'0:0:2.4,461
'0:0:2.42,547
