Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,362
'0:0:0.02,352
'0:0:0.04,333
'0:0:0.06,327
'0:0:0.08,329
'0:0:0.1,331
'0:0:0.12,332
'0:0:0.14,328
'0:0:0.16,326
'0:0:0.18,334
'0:0:0.2,350
'0:0:0.22,367
'0:0:0.24,376
'0:0:0.26,382
'0:0:0.28,386
'0:0:0.3,385
'0:0:0.32,379
'0:0:0.34,365
'0:0:0.36,354
'0:0:0.38,347
'0:0:0.4,341
'0:0:0.42,334
'0:0:0.44,326
'0:0:0.46,323
'0:0:0.48,327
'0:0:0.5,335
'0:0:0.52,341
'0:0:0.54,341
'0:0:0.56,341
'0:0:0.58,345
'0:0:0.6,347
'0:0:0.62,346
'0:0:0.64,340
'0:0:0.66,333
'0:0:0.68,333
'0:0:0.7,332
'0:0:0.72,331
'0:0:0.74,329
'0:0:0.76,333
'0:0:0.78,349
'0:0:0.8,367
'0:0:0.82,379
'0:0:0.84,381
'0:0:0.86,378
'0:0:0.88,376
'0:0:0.9,372
'0:0:0.92,364
'0:0:0.94,351
'0:0:0.96,339
'0:0:0.98,334
'0:0:1.0,331
'0:0:1.02,329
'0:0:1.04,325
'0:0:1.06,327
'0:0:1.08,336
'0:0:1.1,343
'0:0:1.12,348
'0:0:1.14,347
'0:0:1.16,346
'0:0:1.18,348
'0:0:1.2,349
'0:0:1.22,347
'0:0:1.24,340
'0:0:1.26,335
'0:0:1.28,335
'0:0:1.3,335
'0:0:1.32,335
'0:0:1.34,337
'0:0:1.36,346
'0:0:1.38,364
'0:0:1.4,380
'0:0:1.42,388
'0:0:1.44,386
'0:0:1.46,379
'0:0:1.48,374
'0:0:1.5,367
'0:0:1.52,358
'0:0:1.54,345
'0:0:1.56,335
'0:0:1.58,331
'0:0:1.6,330
'0:0:1.62,329
'0:0:1.64,329
'0:0:1.66,330
'0:0:1.68,336
'0:0:1.7,343
'0:0:1.72,346
'0:0:1.74,344
'0:0:1.76,341
'0:0:1.78,342
'0:0:1.8,342
'0:0:1.82,341
'0:0:1.84,334
'0:0:1.86,329
'0:0:1.88,329
'0:0:1.9,330
'0:0:1.92,331
'0:0:1.94,330
'0:0:1.96,338
'0:0:1.98,356
'0:0:2.0,373
'0:0:2.02,383
'0:0:2.04,382
'0:0:2.06,379
'0:0:2.08,376
'0:0:2.1,370
'0:0:2.12,361
'0:0:2.14,348
'0:0:2.16,337
'0:0:2.18,333
'0:0:2.2,332
'0:0:2.22,332
'0:0:2.24,331
'0:0:2.26,332
'0:0:2.28,339
'0:0:2.3,347
'0:0:2.32,352
'0:0:2.34,350
'0:0:2.36,347
'0:0:2.38,347
'0:0:2.4,347
'0:0:2.42,346
