Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,370
'0:0:0.02,370
'0:0:0.04,388
'0:0:0.06,497
'0:0:0.08,700
'0:0:0.1,834
'0:0:0.12,844
'0:0:0.14,786
'0:0:0.16,669
'0:0:0.18,465
'0:0:0.2,261
'0:0:0.22,76
'0:0:0.24,0
'0:0:0.26,0
'0:0:0.28,11
'0:0:0.3,62
'0:0:0.32,145
'0:0:0.34,243
'0:0:0.36,313
'0:0:0.38,345
'0:0:0.4,349
'0:0:0.42,336
'0:0:0.44,320
'0:0:0.46,307
'0:0:0.48,319
'0:0:0.5,337
'0:0:0.52,347
'0:0:0.54,341
'0:0:0.56,326
'0:0:0.58,312
'0:0:0.6,306
'0:0:0.62,310
'0:0:0.64,316
'0:0:0.66,318
'0:0:0.68,323
'0:0:0.7,342
'0:0:0.72,365
'0:0:0.74,370
'0:0:0.76,369
'0:0:0.78,364
'0:0:0.8,362
'0:0:0.82,362
'0:0:0.84,360
'0:0:0.86,354
'0:0:0.88,347
'0:0:0.9,346
'0:0:0.92,350
'0:0:0.94,352
'0:0:0.96,349
'0:0:0.98,349
'0:0:1.0,355
'0:0:1.02,362
'0:0:1.04,363
'0:0:1.06,355
'0:0:1.08,346
'0:0:1.1,346
'0:0:1.12,355
'0:0:1.14,391
'0:0:1.16,452
'0:0:1.18,495
'0:0:1.2,512
'0:0:1.22,506
'0:0:1.24,484
'0:0:1.26,454
'0:0:1.28,427
'0:0:1.3,409
'0:0:1.32,403
'0:0:1.34,403
'0:0:1.36,403
'0:0:1.38,401
'0:0:1.4,399
'0:0:1.42,398
'0:0:1.44,396
'0:0:1.46,391
'0:0:1.48,387
'0:0:1.5,387
'0:0:1.52,388
'0:0:1.54,386
'0:0:1.56,378
'0:0:1.58,369
'0:0:1.6,362
'0:0:1.62,357
'0:0:1.64,354
'0:0:1.66,349
'0:0:1.68,347
'0:0:1.7,352
'0:0:1.72,361
'0:0:1.74,364
'0:0:1.76,367
'0:0:1.78,366
'0:0:1.8,370
'0:0:1.82,376
'0:0:1.84,379
'0:0:1.86,376
'0:0:1.88,390
'0:0:1.9,440
'0:0:1.92,490
'0:0:1.94,514
'0:0:1.96,508
'0:0:1.98,486
'0:0:2.0,460
'0:0:2.02,438
'0:0:2.04,421
'0:0:2.06,406
'0:0:2.08,398
'0:0:2.1,398
'0:0:2.12,397
'0:0:2.14,392
'0:0:2.16,380
'0:0:2.18,368
'0:0:2.2,367
'0:0:2.22,371
'0:0:2.24,373
'0:0:2.26,369
'0:0:2.28,365
'0:0:2.3,363
'0:0:2.32,363
'0:0:2.34,362
'0:0:2.36,357
'0:0:2.38,354
'0:0:2.4,353
'0:0:2.42,354
