Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,348
'0:0:0.02,341
'0:0:0.04,331
'0:0:0.06,329
'0:0:0.08,327
'0:0:0.1,325
'0:0:0.12,327
'0:0:0.14,333
'0:0:0.16,334
'0:0:0.18,330
'0:0:0.2,322
'0:0:0.22,320
'0:0:0.24,318
'0:0:0.26,315
'0:0:0.28,312
'0:0:0.3,315
'0:0:0.32,318
'0:0:0.34,318
'0:0:0.36,335
'0:0:0.38,382
'0:0:0.4,441
'0:0:0.42,485
'0:0:0.44,504
'0:0:0.46,502
'0:0:0.48,484
'0:0:0.5,458
'0:0:0.52,433
'0:0:0.54,413
'0:0:0.56,401
'0:0:0.58,397
'0:0:0.6,399
'0:0:0.62,401
'0:0:0.64,402
'0:0:0.66,398
'0:0:0.68,392
'0:0:0.7,380
'0:0:0.72,363
'0:0:0.74,349
'0:0:0.76,335
'0:0:0.78,321
'0:0:0.8,320
'0:0:0.82,321
'0:0:0.84,320
'0:0:0.86,324
'0:0:0.88,333
'0:0:0.9,341
'0:0:0.92,351
'0:0:0.94,357
'0:0:0.96,360
'0:0:0.98,366
'0:0:1.0,373
'0:0:1.02,377
'0:0:1.04,378
'0:0:1.06,373
'0:0:1.08,365
'0:0:1.1,356
'0:0:1.12,351
'0:0:1.14,352
'0:0:1.16,355
'0:0:1.18,358
'0:0:1.2,362
'0:0:1.22,366
'0:0:1.24,370
'0:0:1.26,370
'0:0:1.28,365
'0:0:1.3,359
'0:0:1.32,354
'0:0:1.34,360
'0:0:1.36,392
'0:0:1.38,434
'0:0:1.4,464
'0:0:1.42,475
'0:0:1.44,469
'0:0:1.46,451
'0:0:1.48,428
'0:0:1.5,408
'0:0:1.52,391
'0:0:1.54,376
'0:0:1.56,366
'0:0:1.58,360
'0:0:1.6,356
'0:0:1.62,353
'0:0:1.64,353
'0:0:1.66,354
'0:0:1.68,359
'0:0:1.7,364
'0:0:1.72,365
'0:0:1.74,361
'0:0:1.76,360
'0:0:1.78,357
'0:0:1.8,355
'0:0:1.82,357
'0:0:1.84,360
'0:0:1.86,361
'0:0:1.88,363
'0:0:1.9,365
'0:0:1.92,364
'0:0:1.94,360
'0:0:1.96,354
'0:0:1.98,348
'0:0:2.0,344
'0:0:2.02,340
'0:0:2.04,336
'0:0:2.06,333
'0:0:2.08,337
'0:0:2.1,343
'0:0:2.12,350
'0:0:2.14,354
'0:0:2.16,356
'0:0:2.18,358
'0:0:2.2,357
'0:0:2.22,355
'0:0:2.24,350
'0:0:2.26,344
'0:0:2.28,340
'0:0:2.3,336
'0:0:2.32,337
'0:0:2.34,359
'0:0:2.36,400
'0:0:2.38,440
'0:0:2.4,461
'0:0:2.42,461
