Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,282
'0:0:0.02,304
'0:0:0.04,326
'0:0:0.06,353
'0:0:0.08,375
'0:0:0.1,387
'0:0:0.12,393
'0:0:0.14,396
'0:0:0.16,397
'0:0:0.18,393
'0:0:0.2,387
'0:0:0.22,384
'0:0:0.24,382
'0:0:0.26,383
'0:0:0.28,381
'0:0:0.3,377
'0:0:0.32,378
'0:0:0.34,381
'0:0:0.36,380
'0:0:0.38,378
'0:0:0.4,379
'0:0:0.42,380
'0:0:0.44,377
'0:0:0.46,372
'0:0:0.48,367
'0:0:0.5,364
'0:0:0.52,363
'0:0:0.54,363
'0:0:0.56,365
'0:0:0.58,365
'0:0:0.6,364
'0:0:0.62,364
'0:0:0.64,367
'0:0:0.66,372
'0:0:0.68,375
'0:0:0.7,380
'0:0:0.72,387
'0:0:0.74,394
'0:0:0.76,407
'0:0:0.78,423
'0:0:0.8,435
'0:0:0.82,442
'0:0:0.84,446
'0:0:0.86,446
'0:0:0.88,443
'0:0:0.9,437
'0:0:0.92,428
'0:0:0.94,430
'0:0:0.96,431
'0:0:0.98,430
'0:0:1.0,425
'0:0:1.02,418
'0:0:1.04,411
'0:0:1.06,407
'0:0:1.08,409
'0:0:1.1,409
'0:0:1.12,406
'0:0:1.14,399
'0:0:1.16,391
'0:0:1.18,387
'0:0:1.2,388
'0:0:1.22,392
'0:0:1.24,393
'0:0:1.26,395
'0:0:1.28,394
'0:0:1.3,390
'0:0:1.32,385
'0:0:1.34,376
'0:0:1.36,362
'0:0:1.38,355
'0:0:1.4,361
'0:0:1.42,370
'0:0:1.44,380
'0:0:1.46,394
'0:0:1.48,406
'0:0:1.5,414
'0:0:1.52,418
'0:0:1.54,410
'0:0:1.56,393
'0:0:1.58,372
'0:0:1.6,360
'0:0:1.62,351
'0:0:1.64,342
'0:0:1.66,337
'0:0:1.68,335
'0:0:1.7,336
'0:0:1.72,345
'0:0:1.74,355
'0:0:1.76,372
'0:0:1.78,394
'0:0:1.8,408
'0:0:1.82,411
'0:0:1.84,405
'0:0:1.86,397
'0:0:1.88,388
'0:0:1.9,381
'0:0:1.92,374
'0:0:1.94,379
'0:0:1.96,383
'0:0:1.98,377
'0:0:2.0,376
'0:0:2.02,381
'0:0:2.04,386
'0:0:2.06,380
'0:0:2.08,380
'0:0:2.1,393
'0:0:2.12,416
'0:0:2.14,436
'0:0:2.16,447
'0:0:2.18,443
'0:0:2.2,431
'0:0:2.22,419
'0:0:2.24,415
'0:0:2.26,409
'0:0:2.28,405
'0:0:2.3,400
'0:0:2.32,397
'0:0:2.34,393
'0:0:2.36,391
'0:0:2.38,391
'0:0:2.4,391
'0:0:2.42,383
