Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,365
'0:0:0.02,351
'0:0:0.04,337
'0:0:0.06,342
'0:0:0.08,350
'0:0:0.1,353
'0:0:0.12,354
'0:0:0.14,356
'0:0:0.16,360
'0:0:0.18,366
'0:0:0.2,370
'0:0:0.22,376
'0:0:0.24,386
'0:0:0.26,393
'0:0:0.28,395
'0:0:0.3,391
'0:0:0.32,385
'0:0:0.34,383
'0:0:0.36,384
'0:0:0.38,385
'0:0:0.4,381
'0:0:0.42,377
'0:0:0.44,379
'0:0:0.46,385
'0:0:0.48,390
'0:0:0.5,391
'0:0:0.52,392
'0:0:0.54,398
'0:0:0.56,406
'0:0:0.58,413
'0:0:0.6,413
'0:0:0.62,411
'0:0:0.64,410
'0:0:0.66,410
'0:0:0.68,410
'0:0:0.7,413
'0:0:0.72,419
'0:0:0.74,427
'0:0:0.76,433
'0:0:0.78,431
'0:0:0.8,419
'0:0:0.82,406
'0:0:0.84,399
'0:0:0.86,394
'0:0:0.88,391
'0:0:0.9,383
'0:0:0.92,376
'0:0:0.94,374
'0:0:0.96,375
'0:0:0.98,377
'0:0:1.0,375
'0:0:1.02,376
'0:0:1.04,381
'0:0:1.06,388
'0:0:1.08,391
'0:0:1.1,388
'0:0:1.12,383
'0:0:1.14,381
'0:0:1.16,383
'0:0:1.18,384
'0:0:1.2,380
'0:0:1.22,375
'0:0:1.24,374
'0:0:1.26,376
'0:0:1.28,377
'0:0:1.3,373
'0:0:1.32,370
'0:0:1.34,371
'0:0:1.36,374
'0:0:1.38,377
'0:0:1.4,374
'0:0:1.42,371
'0:0:1.44,374
'0:0:1.46,378
'0:0:1.48,380
'0:0:1.5,378
'0:0:1.52,376
'0:0:1.54,379
'0:0:1.56,386
'0:0:1.58,391
'0:0:1.6,396
'0:0:1.62,407
'0:0:1.64,423
'0:0:1.66,435
'0:0:1.68,436
'0:0:1.7,427
'0:0:1.72,413
'0:0:1.74,403
'0:0:1.76,398
'0:0:1.78,393
'0:0:1.8,384
'0:0:1.82,378
'0:0:1.84,377
'0:0:1.86,379
'0:0:1.88,381
'0:0:1.9,380
'0:0:1.92,379
'0:0:1.94,383
'0:0:1.96,388
'0:0:1.98,390
'0:0:2.0,386
'0:0:2.02,382
'0:0:2.04,382
'0:0:2.06,384
'0:0:2.08,384
'0:0:2.1,380
'0:0:2.12,377
'0:0:2.14,377
'0:0:2.16,381
'0:0:2.18,383
'0:0:2.2,378
'0:0:2.22,374
'0:0:2.24,375
'0:0:2.26,378
'0:0:2.28,379
'0:0:2.3,376
'0:0:2.32,373
'0:0:2.34,376
'0:0:2.36,379
'0:0:2.38,379
'0:0:2.4,374
'0:0:2.42,371
