Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,373
'0:0:0.02,362
'0:0:0.04,351
'0:0:0.06,346
'0:0:0.08,346
'0:0:0.1,347
'0:0:0.12,347
'0:0:0.14,348
'0:0:0.16,349
'0:0:0.18,349
'0:0:0.2,349
'0:0:0.22,352
'0:0:0.24,357
'0:0:0.26,362
'0:0:0.28,367
'0:0:0.3,370
'0:0:0.32,369
'0:0:0.34,369
'0:0:0.36,370
'0:0:0.38,371
'0:0:0.4,371
'0:0:0.42,371
'0:0:0.44,372
'0:0:0.46,372
'0:0:0.48,373
'0:0:0.5,373
'0:0:0.52,374
'0:0:0.54,374
'0:0:0.56,374
'0:0:0.58,375
'0:0:0.6,376
'0:0:0.62,378
'0:0:0.64,380
'0:0:0.66,382
'0:0:0.68,388
'0:0:0.7,399
'0:0:0.72,410
'0:0:0.74,416
'0:0:0.76,415
'0:0:0.78,409
'0:0:0.8,400
'0:0:0.82,391
'0:0:0.84,384
'0:0:0.86,378
'0:0:0.88,374
'0:0:0.9,372
'0:0:0.92,371
'0:0:0.94,372
'0:0:0.96,373
'0:0:0.98,374
'0:0:1.0,375
'0:0:1.02,376
'0:0:1.04,377
'0:0:1.06,377
'0:0:1.08,376
'0:0:1.1,375
'0:0:1.12,373
'0:0:1.14,373
'0:0:1.16,372
'0:0:1.18,371
'0:0:1.2,371
'0:0:1.22,371
'0:0:1.24,371
'0:0:1.26,371
'0:0:1.28,372
'0:0:1.3,371
'0:0:1.32,373
'0:0:1.34,371
'0:0:1.36,374
'0:0:1.38,376
'0:0:1.4,377
'0:0:1.42,377
'0:0:1.44,377
'0:0:1.46,376
'0:0:1.48,375
'0:0:1.5,374
'0:0:1.52,373
'0:0:1.54,371
'0:0:1.56,369
'0:0:1.58,368
'0:0:1.6,366
'0:0:1.62,366
'0:0:1.64,367
'0:0:1.66,369
'0:0:1.68,373
'0:0:1.7,386
'0:0:1.72,401
'0:0:1.74,410
'0:0:1.76,413
'0:0:1.78,408
'0:0:1.8,400
'0:0:1.82,390
'0:0:1.84,383
'0:0:1.86,378
'0:0:1.88,375
'0:0:1.9,373
'0:0:1.92,373
'0:0:1.94,373
'0:0:1.96,374
'0:0:1.98,375
'0:0:2.0,376
'0:0:2.02,377
'0:0:2.04,379
'0:0:2.06,379
'0:0:2.08,377
'0:0:2.1,376
'0:0:2.12,375
'0:0:2.14,374
'0:0:2.16,373
'0:0:2.18,372
'0:0:2.2,371
'0:0:2.22,370
'0:0:2.24,370
'0:0:2.26,370
'0:0:2.28,370
'0:0:2.3,371
'0:0:2.32,371
'0:0:2.34,371
'0:0:2.36,372
'0:0:2.38,373
'0:0:2.4,373
'0:0:2.42,373
