Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,390
'0:0:0.02,379
'0:0:0.04,362
'0:0:0.06,362
'0:0:0.08,368
'0:0:0.1,375
'0:0:0.12,379
'0:0:0.14,387
'0:0:0.16,400
'0:0:0.18,413
'0:0:0.2,423
'0:0:0.22,424
'0:0:0.24,419
'0:0:0.26,415
'0:0:0.28,411
'0:0:0.3,407
'0:0:0.32,397
'0:0:0.34,394
'0:0:0.36,395
'0:0:0.38,396
'0:0:0.4,396
'0:0:0.42,395
'0:0:0.44,395
'0:0:0.46,399
'0:0:0.48,402
'0:0:0.5,403
'0:0:0.52,398
'0:0:0.54,394
'0:0:0.56,393
'0:0:0.58,395
'0:0:0.6,396
'0:0:0.62,393
'0:0:0.64,390
'0:0:0.66,391
'0:0:0.68,393
'0:0:0.7,395
'0:0:0.72,392
'0:0:0.74,390
'0:0:0.76,390
'0:0:0.78,392
'0:0:0.8,393
'0:0:0.82,390
'0:0:0.84,388
'0:0:0.86,390
'0:0:0.88,391
'0:0:0.9,396
'0:0:0.92,394
'0:0:0.94,392
'0:0:0.96,393
'0:0:0.98,397
'0:0:1.0,406
'0:0:1.02,415
'0:0:1.04,425
'0:0:1.06,434
'0:0:1.08,439
'0:0:1.1,435
'0:0:1.12,425
'0:0:1.14,414
'0:0:1.16,407
'0:0:1.18,402
'0:0:1.2,397
'0:0:1.22,390
'0:0:1.24,385
'0:0:1.26,387
'0:0:1.28,391
'0:0:1.3,394
'0:0:1.32,390
'0:0:1.34,390
'0:0:1.36,393
'0:0:1.38,396
'0:0:1.4,397
'0:0:1.42,395
'0:0:1.44,391
'0:0:1.46,392
'0:0:1.48,393
'0:0:1.5,394
'0:0:1.52,392
'0:0:1.54,390
'0:0:1.56,392
'0:0:1.58,396
'0:0:1.6,398
'0:0:1.62,396
'0:0:1.64,393
'0:0:1.66,392
'0:0:1.68,393
'0:0:1.7,393
'0:0:1.72,391
'0:0:1.74,390
'0:0:1.76,393
'0:0:1.78,399
'0:0:1.8,407
'0:0:1.82,413
'0:0:1.84,418
'0:0:1.86,422
'0:0:1.88,424
'0:0:1.9,422
'0:0:1.92,414
'0:0:1.94,406
'0:0:1.96,402
'0:0:1.98,400
'0:0:2.0,397
'0:0:2.02,392
'0:0:2.04,388
'0:0:2.06,389
'0:0:2.08,393
'0:0:2.1,395
'0:0:2.12,393
'0:0:2.14,390
'0:0:2.16,388
'0:0:2.18,390
'0:0:2.2,391
'0:0:2.22,386
'0:0:2.24,382
'0:0:2.26,382
'0:0:2.28,384
'0:0:2.3,384
'0:0:2.32,378
'0:0:2.34,377
'0:0:2.36,379
'0:0:2.38,383
'0:0:2.4,386
'0:0:2.42,384
