Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,443
'0:0:0.02,435
'0:0:0.04,417
'0:0:0.06,410
'0:0:0.08,404
'0:0:0.1,400
'0:0:0.12,395
'0:0:0.14,391
'0:0:0.16,390
'0:0:0.18,390
'0:0:0.2,393
'0:0:0.22,400
'0:0:0.24,405
'0:0:0.26,409
'0:0:0.28,409
'0:0:0.3,405
'0:0:0.32,401
'0:0:0.34,396
'0:0:0.36,394
'0:0:0.38,392
'0:0:0.4,390
'0:0:0.42,388
'0:0:0.44,389
'0:0:0.46,392
'0:0:0.48,392
'0:0:0.5,389
'0:0:0.52,385
'0:0:0.54,387
'0:0:0.56,394
'0:0:0.58,406
'0:0:0.6,423
'0:0:0.62,437
'0:0:0.64,442
'0:0:0.66,441
'0:0:0.68,433
'0:0:0.7,421
'0:0:0.72,408
'0:0:0.74,398
'0:0:0.76,390
'0:0:0.78,384
'0:0:0.8,381
'0:0:0.82,381
'0:0:0.84,383
'0:0:0.86,388
'0:0:0.88,393
'0:0:0.9,394
'0:0:0.92,394
'0:0:0.94,393
'0:0:0.96,391
'0:0:0.98,388
'0:0:1.0,384
'0:0:1.02,379
'0:0:1.04,377
'0:0:1.06,377
'0:0:1.08,376
'0:0:1.1,375
'0:0:1.12,376
'0:0:1.14,378
'0:0:1.16,379
'0:0:1.18,381
'0:0:1.2,388
'0:0:1.22,403
'0:0:1.24,420
'0:0:1.26,433
'0:0:1.28,436
'0:0:1.3,433
'0:0:1.32,424
'0:0:1.34,415
'0:0:1.36,406
'0:0:1.38,397
'0:0:1.4,388
'0:0:1.42,381
'0:0:1.44,380
'0:0:1.46,382
'0:0:1.48,385
'0:0:1.5,388
'0:0:1.52,390
'0:0:1.54,393
'0:0:1.56,395
'0:0:1.58,393
'0:0:1.6,391
'0:0:1.62,387
'0:0:1.64,382
'0:0:1.66,381
'0:0:1.68,379
'0:0:1.7,376
'0:0:1.72,376
'0:0:1.74,376
'0:0:1.76,377
'0:0:1.78,378
'0:0:1.8,378
'0:0:1.82,378
'0:0:1.84,383
'0:0:1.86,396
'0:0:1.88,413
'0:0:1.9,427
'0:0:1.92,434
'0:0:1.94,435
'0:0:1.96,431
'0:0:1.98,421
'0:0:2.0,410
'0:0:2.02,400
'0:0:2.04,393
'0:0:2.06,388
'0:0:2.08,384
'0:0:2.1,381
'0:0:2.12,381
'0:0:2.14,385
'0:0:2.16,390
'0:0:2.18,393
'0:0:2.2,393
'0:0:2.22,393
'0:0:2.24,391
'0:0:2.26,388
'0:0:2.28,385
'0:0:2.3,382
'0:0:2.32,380
'0:0:2.34,378
'0:0:2.36,379
'0:0:2.38,379
'0:0:2.4,378
'0:0:2.42,377
