Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,370
'0:0:0.02,365
'0:0:0.04,360
'0:0:0.06,367
'0:0:0.08,374
'0:0:0.1,378
'0:0:0.12,380
'0:0:0.14,377
'0:0:0.16,376
'0:0:0.18,374
'0:0:0.2,372
'0:0:0.22,371
'0:0:0.24,369
'0:0:0.26,369
'0:0:0.28,370
'0:0:0.3,372
'0:0:0.32,376
'0:0:0.34,378
'0:0:0.36,381
'0:0:0.38,392
'0:0:0.4,413
'0:0:0.42,435
'0:0:0.44,447
'0:0:0.46,447
'0:0:0.48,438
'0:0:0.5,424
'0:0:0.52,407
'0:0:0.54,392
'0:0:0.56,381
'0:0:0.58,373
'0:0:0.6,368
'0:0:0.62,366
'0:0:0.64,368
'0:0:0.66,372
'0:0:0.68,376
'0:0:0.7,379
'0:0:0.72,380
'0:0:0.74,379
'0:0:0.76,376
'0:0:0.78,372
'0:0:0.8,368
'0:0:0.82,364
'0:0:0.84,361
'0:0:0.86,356
'0:0:0.88,355
'0:0:0.9,354
'0:0:0.92,353
'0:0:0.94,352
'0:0:0.96,349
'0:0:0.98,355
'0:0:1.0,377
'0:0:1.02,404
'0:0:1.04,422
'0:0:1.06,429
'0:0:1.08,426
'0:0:1.1,417
'0:0:1.12,407
'0:0:1.14,395
'0:0:1.16,391
'0:0:1.18,389
'0:0:1.2,386
'0:0:1.22,385
'0:0:1.24,383
'0:0:1.26,381
'0:0:1.28,381
'0:0:1.3,381
'0:0:1.32,382
'0:0:1.34,382
'0:0:1.36,382
'0:0:1.38,379
'0:0:1.4,375
'0:0:1.42,372
'0:0:1.44,369
'0:0:1.46,365
'0:0:1.48,361
'0:0:1.5,357
'0:0:1.52,356
'0:0:1.54,357
'0:0:1.56,359
'0:0:1.58,361
'0:0:1.6,364
'0:0:1.62,366
'0:0:1.64,367
'0:0:1.66,366
'0:0:1.68,366
'0:0:1.7,366
'0:0:1.72,375
'0:0:1.74,400
'0:0:1.76,428
'0:0:1.78,448
'0:0:1.8,456
'0:0:1.82,452
'0:0:1.84,440
'0:0:1.86,423
'0:0:1.88,407
'0:0:1.9,394
'0:0:1.92,387
'0:0:1.94,383
'0:0:1.96,380
'0:0:1.98,379
'0:0:2.0,379
'0:0:2.02,382
'0:0:2.04,387
'0:0:2.06,390
'0:0:2.08,392
'0:0:2.1,392
'0:0:2.12,391
'0:0:2.14,384
'0:0:2.16,383
'0:0:2.18,381
'0:0:2.2,378
'0:0:2.22,375
'0:0:2.24,374
'0:0:2.26,372
'0:0:2.28,370
'0:0:2.3,369
'0:0:2.32,368
'0:0:2.34,368
'0:0:2.36,367
'0:0:2.38,366
'0:0:2.4,365
'0:0:2.42,366
