Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,416
'0:0:0.02,399
'0:0:0.04,381
'0:0:0.06,373
'0:0:0.08,366
'0:0:0.1,361
'0:0:0.12,360
'0:0:0.14,360
'0:0:0.16,360
'0:0:0.18,358
'0:0:0.2,361
'0:0:0.22,365
'0:0:0.24,368
'0:0:0.26,370
'0:0:0.28,369
'0:0:0.3,369
'0:0:0.32,371
'0:0:0.34,371
'0:0:0.36,369
'0:0:0.38,366
'0:0:0.4,365
'0:0:0.42,366
'0:0:0.44,375
'0:0:0.46,394
'0:0:0.48,413
'0:0:0.5,425
'0:0:0.52,426
'0:0:0.54,420
'0:0:0.56,409
'0:0:0.58,398
'0:0:0.6,391
'0:0:0.62,388
'0:0:0.64,383
'0:0:0.66,376
'0:0:0.68,370
'0:0:0.7,368
'0:0:0.72,369
'0:0:0.74,371
'0:0:0.76,372
'0:0:0.78,374
'0:0:0.8,377
'0:0:0.82,381
'0:0:0.84,381
'0:0:0.86,379
'0:0:0.88,375
'0:0:0.9,372
'0:0:0.92,367
'0:0:0.94,359
'0:0:0.96,349
'0:0:0.98,341
'0:0:1.0,337
'0:0:1.02,340
'0:0:1.04,348
'0:0:1.06,366
'0:0:1.08,379
'0:0:1.1,383
'0:0:1.12,379
'0:0:1.14,375
'0:0:1.16,403
'0:0:1.18,467
'0:0:1.2,499
'0:0:1.22,445
'0:0:1.24,316
'0:0:1.26,141
'0:0:1.28,0
'0:0:1.3,0
'0:0:1.32,0
'0:0:1.34,0
'0:0:1.36,12
'0:0:1.38,53
'0:0:1.4,101
'0:0:1.42,147
'0:0:1.44,184
'0:0:1.46,213
'0:0:1.48,238
'0:0:1.5,258
'0:0:1.52,275
'0:0:1.54,288
'0:0:1.56,298
'0:0:1.58,307
'0:0:1.6,316
'0:0:1.62,328
'0:0:1.64,338
'0:0:1.66,348
'0:0:1.68,354
'0:0:1.7,367
'0:0:1.72,394
'0:0:1.74,420
'0:0:1.76,435
'0:0:1.78,434
'0:0:1.8,423
'0:0:1.82,411
'0:0:1.84,401
'0:0:1.86,393
'0:0:1.88,385
'0:0:1.9,379
'0:0:1.92,376
'0:0:1.94,372
'0:0:1.96,368
'0:0:1.98,365
'0:0:2.0,365
'0:0:2.02,367
'0:0:2.04,369
'0:0:2.06,369
'0:0:2.08,366
'0:0:2.1,362
'0:0:2.12,362
'0:0:2.14,360
'0:0:2.16,356
'0:0:2.18,353
'0:0:2.2,351
'0:0:2.22,351
'0:0:2.24,351
'0:0:2.26,350
'0:0:2.28,350
'0:0:2.3,351
'0:0:2.32,353
'0:0:2.34,354
'0:0:2.36,355
'0:0:2.38,358
'0:0:2.4,378
'0:0:2.42,407
